1,1fop2fug,Chat,6,1,4,Stop,3,Linear,continue
2,sxdrrqqq,Chat,6,1,3,,,Linear,continue
3,yxo0mntn,Chat,6,2,8,Stop,8,Zero,I would prefer if I get to round 8
4,vz8p85fp,Chat,6,1,6,,,Zero,I will try to stop at 7.
5,h5iqkkav,Chat,6,2,5,Stop,8,Zero,stop at 8
6,m1xeiym0,Chat,6,1,5,,,Zero,"will stop at the 8th box, as agreed"
7,dc0r4n9w,Chat,6,2,6,Stop,4,Zero,I am gonna stop at 2
8,bzhcm769,Chat,6,1,8,,,Zero,stop at 7
9,8apo3cgi,Chat,6,2,1,Continue,end,Baseline,continue
10,of1g2i7n,Chat,6,1,1,Continue,end,Baseline,Continue til the last round and let P2 decides whether to stop at round 8 or not
11,gqdmt2ct,Chat,6,2,3,Stop,4,Linear,until 4
12,ptg4p4bq,Chat,6,2,4,,,Linear,stop at 4
13,qy86l5ms,Chat,6,1,2,Stop,1,Baseline,Stop at 8. It will give more to the other participant. I don't mind having less points.
14,gy8umpec,Chat,6,2,2,,,Baseline,Stop at 8
15,utihjbe3,Chat,6,2,7,,,Zero,I'll stop at 8
16,s1rh1hok,Chat,6,1,7,Stop,7,Zero,"i will stop at 7 to get the best result,"
,,,,,,,,,
1,b5p4dfvx,Chat,6,1,5,Stop,7,Zero,I will stop at 7th level.
2,eqn99yd1,Chat,6,1,6,,,Zero,stop 8
3,7uaz1zmn,Chat,6,2,8,Stop,6,Zero,stop at 6
4,i1zxx0cy,Chat,6,1,4,Stop,5,Zero,5
5,y8cgtqtu,Chat,6,1,2,,,Baseline,9
6,asoz551b,Chat,6,2,1,Stop,8,Baseline,stop
7,jrb2fq24,Chat,6,1,3,,,Zero,Continue at 7
8,1ak8jpsi,Chat,6,1,8,,,Zero,Stop at 7
9,8l13ucda,Chat,6,2,3,Stop,6,Zero,stop at 6
10,7gq20tln,Chat,6,2,5,,,Zero,stop at 7
11,5vsk781d,Chat,6,2,6,Stop,6,Zero,Not sure whether to risk stopping at #4 or keep playing
12,3cjpvgsh,Chat,6,1,7,,,Zero,stop at 8
13,5qgljvdo,Chat,6,2,2,Stop,8,Baseline,continue past round 8
14,cy6hd3fl,Chat,6,1,1,,,Baseline,stop at 8
15,z4awa59k,Chat,6,2,4,,,Zero,not ssure
16,ychjeid8,Chat,6,2,7,Stop,8,Zero,Stop at No.8
,,,,,,,,,
1,q5dympb9,No Chat,6,1,10,Stop,5,Zero,i can end at 3 if im lucky
2,iej3wiqs,No Chat,6,2,6,Stop,4,Zero,Stop at round 4
3,izp0ens7,No Chat,6,2,1,,,Baseline,Want to end on round 8 but mostly will end on round 6
4,o2x4xwdw,No Chat,6,2,3,Stop,4,Baseline,I will stop at 4 instead to be at least at a higher payoffs
5,siwe72ta,No Chat,6,2,10,,,Zero,I will try to stop at round 8
6,m0rglibi,No Chat,6,1,9,,,Zero,stop at 6
7,cebne6fm,No Chat,6,1,3,,,Baseline,Continue from rounds 1 to 4   Take round 5
8,8b7gpazh,No Chat,6,1,1,Stop,5,Baseline,"this time i will not take risk and i will stop at 5 to earn more because there is no chance to go to 8,a win-win situation"
9,5qmg1euf,No Chat,6,2,5,Stop,2,Linear,"take on round 2, think its my best chance to get the most. cant risk exposing opponent to those drops in payout."
10,mwnx2jmr,No Chat,6,1,5,,,Linear,continue for all
11,wk89oazu,No Chat,6,1,7,Stop,5,Zero,take in 5
12,e4nxw0n7,No Chat,6,2,7,,,Zero,stop at round 4
13,388zde2f,No Chat,6,1,6,,,Zero,round 7
14,l51m5q34,No Chat,6,2,9,Stop,4,Zero,Stop by round 4.
15,ukh5d12t,No Chat,6,2,8,,,Zero,I will probably stop on round 3
16,a19uagf9,No Chat,6,1,8,Stop,5,Zero,Stop in round 5 / 7
17,0ijo73ag,No Chat,6,2,4,Stop,4,Linear,not usre
18,jq0hzdiq,No Chat,6,1,4,,,Linear,stop at 3
19,6ixnjwji,No Chat,6,2,2,,,Baseline,stop at 6
20,81kuxwzk,No Chat,6,1,2,Stop,5,Baseline,stop at 5
,,,,,,,,,
1,jn8g7l7n,No Chat,6,1,8,Stop,3,Zero,Stop at 3
2,51junihe,No Chat,6,2,8,,,Zero,no
3,pq2la6sg,No Chat,6,1,6,Stop,5,Zero,Aim for round 5
4,5k9ox5nd,No Chat,6,2,6,,,Zero,I will risk it and stop at 6 to earn more
5,z5e15miq,No Chat,6,2,3,Stop,2,Linear,I will stop after round 2.
6,m042ko9i,No Chat,6,1,5,,,Linear,I will stop the interaction around round 3.
7,uz9vuj33,No Chat,6,2,1,Stop,6,Baseline,stop at round 6
8,sdjz7rnn,No Chat,6,1,2,,,Baseline,stop early
9,gcskqxru,No Chat,6,1,4,,,Linear,stop at 5
10,vmfijvxr,No Chat,6,2,5,Stop,2,Linear,stop at second round
11,xyrv9ls7,No Chat,6,1,3,,,Linear,I will stop on 3.
12,tx9i16r9,No Chat,6,2,4,Stop,4,Linear,stop at 4
13,2n25a20e,No Chat,6,2,2,Stop,6,Baseline,Pass until round 4 and take to be cautious
14,2avcbrcp,No Chat,6,1,1,,,Baseline,"I will continue until the end, if its possible"
15,3vny3tt7,No Chat,6,2,7,Stop,2,Zero,continue to 4
16,pfpl9l74,No Chat,6,1,7,,,Zero,Keep playing.
